D;Rho;Mspp;Mrpp;Mspw;Mrpw;Epp;Epw;Inferior;Superior;;;;;;;;;;;;
4;4000;0.3;0.03;0.3;0.03;0.8;0.8;24.455;20.785;;;;;;;;;;;;
4;4000;0.3;0.03;0.3;0.06;0.8;0.5;24.84;21.535;;;Effect;Std.Err.;t(70);p;-95.%;+95.%;Coeff.;Std.Err.;-95.%;+95.%
4;4000;0.3;0.03;0.6;0.03;0.8;0.5;25.68;21.455;;Mean/Interc.;24.26345;0.185913;130.5094;0.000000;23.89265;24.63424;24.26345;0.185913;23.89265;24.63424
4;4000;0.3;0.03;0.6;0.06;0.8;0.8;24.735;22.405;;(1)Var1    (L);-0.75787;0.179380;-4.2249;0.000071;-1.11563;-0.40010;-0.37893;0.089690;-0.55782;-0.20005
4;4000;0.3;0.06;0.3;0.03;0.5;0.8;26.64;22.31;;(2)Var2    (L);-0.64155;0.179380;-3.5765;0.000637;-0.99932;-0.28379;-0.32078;0.089690;-0.49966;-0.14190
4;4000;0.3;0.06;0.3;0.06;0.5;0.5;25.555;22.995;;(3)Var3    (L);2.74908;0.179380;15.3254;0.000000;2.39132;3.10685;1.37454;0.089690;1.19566;1.55342
4;4000;0.3;0.06;0.6;0.03;0.5;0.5;27.065;22.595;;Var3    (Q);-1.10939;0.258682;-4.2886;0.000057;-1.62531;-0.59346;-0.55469;0.129341;-0.81266;-0.29673
4;4000;0.3;0.06;0.6;0.06;0.5;0.8;25.805;24.6;;(4)Var4    (L);1.69669;0.179380;9.4586;0.000000;1.33893;2.05446;0.84835;0.089690;0.66947;1.02723
4;4000;0.6;0.03;0.3;0.03;0.5;0.8;26.71;23.48;;(5)Var5    (L);1.41123;0.179380;7.8672;0.000000;1.05346;1.76899;0.70561;0.089690;0.52673;0.88449
4;4000;0.6;0.03;0.3;0.06;0.5;0.5;27.615;24.365;;Var5    (Q);-1.63882;0.258682;-6.3352;0.000000;-2.15474;-1.12289;-0.81941;0.129341;-1.07737;-0.56145
4;4000;0.6;0.03;0.6;0.03;0.5;0.5;27.365;25.27;;(6)Var6    (L);0.99100;0.179380;5.5246;0.000001;0.63324;1.34877;0.49550;0.089690;0.31662;0.67438
4;4000;0.6;0.03;0.6;0.06;0.5;0.8;26.68;24.765;;1L by 4L;0.54547;0.190846;2.8582;0.005608;0.16484;0.92610;0.27273;0.095423;0.08242;0.46305
4;4000;0.6;0.06;0.3;0.03;0.8;0.8;28.875;24;;3L by 5L;0.52578;0.190846;2.7550;0.007475;0.14515;0.90641;0.26289;0.095423;0.07258;0.45321
4;4000;0.6;0.06;0.3;0.06;0.8;0.5;29.735;25.32;;;;;;;;;;;;
4;4000;0.6;0.06;0.6;0.03;0.8;0.5;29.42;24.98;;;;;;;;;;;;
4;4000;0.6;0.06;0.6;0.06;0.8;0.8;29.695;26.57;;;;;;;;;;;;
4;8000;0.3;0.03;0.3;0.03;0.5;0.5;25.845;19.115;;;;;;;;;;;;
4;8000;0.3;0.03;0.3;0.06;0.5;0.8;25.095;19.83;;;;;;;;;;;;
4;8000;0.3;0.03;0.6;0.03;0.5;0.8;24.835;22.55;;;;;;;;;;;;
4;8000;0.3;0.03;0.6;0.06;0.5;0.5;24.625;21.645;;;;;;;;;;;;
4;8000;0.3;0.06;0.3;0.03;0.8;0.5;25.21;22.205;;;;;;;;;;;;
4;8000;0.3;0.06;0.3;0.06;0.8;0.8;27.13;22.45;;;;;;;;;;;;
4;8000;0.3;0.06;0.6;0.03;0.8;0.8;25.85;22.36;;;;;;;;;;;;
4;8000;0.3;0.06;0.6;0.06;0.8;0.5;26.18;23.175;;;;;;;;;;;;
4;8000;0.6;0.03;0.3;0.03;0.8;0.5;28.495;22.745;;;;;;;;;;;;
4;8000;0.6;0.03;0.3;0.06;0.8;0.8;27.345;22.935;;;;;;;;;;;;
4;8000;0.6;0.03;0.6;0.03;0.8;0.8;28.625;24.825;;;;;;;;;;;;
4;8000;0.6;0.03;0.6;0.06;0.8;0.5;26.205;25.495;;;;;;;;;;;;
4;8000;0.6;0.06;0.3;0.03;0.5;0.5;28.305;22.99;;;;;;;;;;;;
4;8000;0.6;0.06;0.3;0.06;0.5;0.8;28.475;24.32;;;;;;;;;;;;
4;8000;0.6;0.06;0.6;0.03;0.5;0.8;28.765;25.4;;;;;;;;;;;;
4;8000;0.6;0.06;0.6;0.06;0.5;0.5;29.985;26.45;;;;;;;;;;;;
6;4000;0.3;0.03;0.3;0.03;0.5;0.5;24.62;19.955;;;;;;;;;;;;
6;4000;0.3;0.03;0.3;0.06;0.5;0.8;25.06;21.695;;;;;;;;;;;;
6;4000;0.3;0.03;0.6;0.03;0.5;0.8;26.625;19.495;;;;;;;;;;;;
6;4000;0.3;0.03;0.6;0.06;0.5;0.5;26.265;21.615;;;;;;;;;;;;
6;4000;0.3;0.06;0.3;0.03;0.8;0.5;27.825;22.39;;;;;;;;;;;;
6;4000;0.3;0.06;0.3;0.06;0.8;0.8;27.33;23.175;;;;;;;;;;;;
6;4000;0.3;0.06;0.6;0.03;0.8;0.8;28.365;21.43;;;;;;;;;;;;
6;4000;0.3;0.06;0.6;0.06;0.8;0.5;27.37;24.055;;;;;;;;;;;;
6;4000;0.6;0.03;0.3;0.03;0.8;0.5;27.775;21.72;;;;;;;;;;;;
6;4000;0.6;0.03;0.3;0.06;0.8;0.8;28.195;22.95;;;;;;;;;;;;
6;4000;0.6;0.03;0.6;0.03;0.8;0.8;27.925;22.965;;;;;;;;;;;;
6;4000;0.6;0.03;0.6;0.06;0.8;0.5;27.655;24.49;;;;;;;;;;;;
6;4000;0.6;0.06;0.3;0.03;0.5;0.5;29.535;24.465;;;;;;;;;;;;
6;4000;0.6;0.06;0.3;0.06;0.5;0.8;28.2;23.94;;;;;;;;;;;;
6;4000;0.6;0.06;0.6;0.03;0.5;0.8;30.435;26.96;;;;;;;;;;;;
6;4000;0.6;0.06;0.6;0.06;0.5;0.5;29.755;25.705;;;;;;;;;;;;
6;8000;0.3;0.03;0.3;0.03;0.8;0.8;25.99;18.925;;;;;;;;;;;;
6;8000;0.3;0.03;0.3;0.06;0.8;0.5;25.425;20.165;;;;;;;;;;;;
6;8000;0.3;0.03;0.6;0.03;0.8;0.5;24.275;18.53;;;;;;;;;;;;
6;8000;0.3;0.03;0.6;0.06;0.8;0.8;24.73;20.735;;;;;;;;;;;;
6;8000;0.3;0.06;0.3;0.03;0.5;0.8;27.45;20.5;;;;;;;;;;;;
6;8000;0.3;0.06;0.3;0.06;0.5;0.5;26.535;22.205;;;;;;;;;;;;
6;8000;0.3;0.06;0.6;0.03;0.5;0.5;27.19;21.055;;;;;;;;;;;;
6;8000;0.3;0.06;0.6;0.06;0.5;0.8;26.35;23.255;;;;;;;;;;;;
6;8000;0.6;0.03;0.3;0.03;0.5;0.8;28.66;21.16;;;;;;;;;;;;
6;8000;0.6;0.03;0.3;0.06;0.5;0.5;28.195;21.86;;;;;;;;;;;;
6;8000;0.6;0.03;0.6;0.03;0.5;0.5;28.47;22.125;;;;;;;;;;;;
6;8000;0.6;0.03;0.6;0.06;0.5;0.8;29.41;23.605;;;;;;;;;;;;
6;8000;0.6;0.06;0.3;0.03;0.8;0.8;29.62;23.695;;;;;;;;;;;;
6;8000;0.6;0.06;0.3;0.06;0.8;0.5;30.005;24.125;;;;;;;;;;;;
6;8000;0.6;0.06;0.6;0.03;0.8;0.5;29.96;26.265;;;;;;;;;;;;
6;8000;0.6;0.06;0.6;0.06;0.8;0.8;29.505;25.745;;;;;;;;;;;;
2.945361;6000;0.45;0.045;0.45;0.045;0.65;0.65;28.75;25.415;;;;;;;;;;;;
7.054639;6000;0.45;0.045;0.45;0.045;0.65;0.65;28.775;24.205;;;;;;;;;;;;
5;1890.72;0.45;0.045;0.45;0.045;0.65;0.65;27.305;24.915;;;;;;;;;;;;
5;10109.28;0.45;0.045;0.45;0.045;0.65;0.65;27.43;24.31;;;;;;;;;;;;
5;6000;0.141804;0.045;0.45;0.045;0.65;0.65;21.31;18.02;;;;;;;;;;;;
5;6000;0.758196;0.045;0.45;0.045;0.65;0.65;31.235;25.36;;;;;;;;;;;;
5;6000;0.45;0.01418;0.45;0.045;0.65;0.65;26.56;23.595;;;;;;;;;;;;
5;6000;0.45;0.07582;0.45;0.045;0.65;0.65;29.425;26.01;;;;;;;;;;;;
5;6000;0.45;0.045;0.141804;0.045;0.65;0.65;27.44;17.445;;;;;;;;;;;;
5;6000;0.45;0.045;0.758196;0.045;0.65;0.65;27.86;23.7;;;;;;;;;;;;
5;6000;0.45;0.045;0.45;0.01418;0.65;0.65;28.56;21.795;;;;;;;;;;;;
5;6000;0.45;0.045;0.45;0.07582;0.65;0.65;28.16;24.92;;;;;;;;;;;;
5;6000;0.45;0.045;0.45;0.045;0.341804;0.65;28.5;23.45;;;;;;;;;;;;
5;6000;0.45;0.045;0.45;0.045;0.958196;0.65;28.63;24.555;;;;;;;;;;;;
5;6000;0.45;0.045;0.45;0.045;0.65;0.341804;28.195;22.68;;;;;;;;;;;;
5;6000;0.45;0.045;0.45;0.045;0.65;0.958196;28.555;24.18;;;;;;;;;;;;
5;6000;0.45;0.045;0.45;0.045;0.65;0.65;28.265;24.365;;;;;;;;;;;;
